transaction_id,reference_id,transaction_date,value_date,narration,debit_amount,credit_amount,balance,transaction_type,payment_mode,branch_code,customer_id,merchant_name,status
BKTXN0000001,UTR195638945203,2024-01-13,2024-09-18,NEFT-UTR195638945203-FLIPKART,3320.24,,172776.87,SETTLEMENT,NACH,BRN003,CUST001382,FLIPKART,DISPUTED
BKTXN0000002,PU369301707057,2024-02-20,2024-07-03,NEFT-PU369301707057-PAYTM*WALLET,13144.65,,13231.57,EMI,RTGS,BRN001,CUST000380,PAYTM*WALLET,DISPUTED
BKTXN0000003,SLM968125632113,2024-08-09,2024-08-27,NEFT-SLM968125632113-ZOMATO*MUMBAI,12976.06,,28004.24,CREDIT,WALLET,BRN009,CUST001979,ZOMATO*MUMBAI,SUCCESS
BKTXN0000004,TXN678269056222,2024-07-25,2024-11-17,NEFT-TXN678269056222-UBER*TRIP,,9526.37,222849.47,EMI,UPI,BRN007,CUST001535,UBER*TRIP,DISPUTED
BKTXN0000005,UTR932567993362,2024-08-22,2024-05-06,NEFT-UTR932567993362-AMAZON,24623.69,,174101.26,EMI,RTGS,BRN008,CUST001588,AMAZON,DISPUTED
BKTXN0000006,PU306228473794,2024-01-12,2024-04-13,NEFT-PU306228473794-UBER*TRIP,18886.69,,270678.77,SETTLEMENT,WALLET,BRN008,CUST002581,UBER*TRIP,DISPUTED
BKTXN0000007,SLM630618170239,2024-07-25,2024-08-02,NEFT-SLM630618170239-PAYTM*WALLET,16137.76,,14974.51,EMI,NACH,BRN001,CUST001051,PAYTM*WALLET,REVERSED
BKTXN0000008,ORD797649871323,2024-09-12,2024-12-03,NEFT-ORD797649871323-SWIGGY*BANGALORE,18565.78,,50623.7,SETTLEMENT,UPI,BRN007,CUST000301,SWIGGY*BANGALORE,DISPUTED
BKTXN0000009,ORD545109335697,2024-08-02,2024-09-11,NEFT-ORD545109335697-ZOMATO*MUMBAI,,7949.95,212895.08,SETTLEMENT,NACH,BRN007,CUST000264,ZOMATO*MUMBAI,DISPUTED
BKTXN0000010,ORD508640300453,2024-11-02,2024-09-13,NEFT-ORD508640300453-AMAZON,2443.46,,273392.82,SALARY,WALLET,BRN007,CUST001510,AMAZON,SUCCESS
BKTXN0000011,TXN473554478055,2024-10-13,2024-07-02,NEFT-TXN473554478055-UBER*TRIP,5087.37,,373266.61,EMI,RTGS,BRN006,CUST001843,UBER*TRIP,DISPUTED
BKTXN0000012,ORD837493242079,2024-01-06,2024-09-11,NEFT-ORD837493242079-SWIGGY*BANGALORE,23754.16,,436983.39,SALARY,WALLET,BRN009,CUST000430,SWIGGY*BANGALORE,DISPUTED
BKTXN0000013,ORD346397981152,2024-09-08,2024-04-11,NEFT-ORD346397981152-UBER*TRIP,8225.37,,139628.81,SETTLEMENT,UPI,BRN002,CUST000808,UBER*TRIP,DISPUTED
BKTXN0000014,SLM310527100407,2024-06-03,2024-06-18,NEFT-SLM310527100407-makemytrip.com,,2644.49,273464.18,SALARY,CARD,BRN008,CUST002993,makemytrip.com,REVERSED
BKTXN0000015,UTR882787217688,2024-06-13,2024-04-27,NEFT-UTR882787217688-FLIPKART,,26027.84,255616.2,SALARY,UPI,BRN001,CUST002463,FLIPKART,DISPUTED
BKTXN0000016,PAY865979047074,2024-08-12,2024-11-28,NEFT-PAY865979047074-UBER*TRIP,1667.82,,216173.22,CREDIT,NACH,BRN008,CUST001406,UBER*TRIP,SUCCESS
