external_transaction_id,reference_id,settlement_date,transaction_date,amount,transaction_status,payment_gateway,merchant_name,transaction_category,branch_code,remarks,customer_reference
ATOM_EPSSKATSR9,SLM985395353961,2024-03-25,2024-12-26,20608.17,SUCCESS,CCAVENUE,AMAZON,SUBSCRIPTION,BRN003,SETTLED/SLM985395353961,CUST001991
CCX_86CKE8M8WZ,PAY856891680202,2024-07-02,2024-07-12,8624.26,SUCCESS,BILLDESK,ZOMATO*MUMBAI,SUBSCRIPTION,BRN004,SETTLED/PAY856891680202,CUST000191
ATOM_6HU9IGJWBM,SLM167886632385,2024-09-13,2024-03-28,15064.2,SUCCESS,CCAVENUE,FLIPKART,PAYMENT,BRN005,SETTLED/SLM167886632385,CUST002060
ATOM_XD66C8L7VN,ORD195103488845,2024-04-27,2024-07-12,9888.72,SUCCESS,INSTAMOJO,AMAZON,SUBSCRIPTION,BRN004,SETTLED/ORD195103488845,CUST001180
ATOM_GMIMRI15M3,UTR999461719710,2024-08-23,2024-12-14,13510.07,SUCCESS,CCAVENUE,AMAZON,SUBSCRIPTION,BRN005,SETTLED/UTR999461719710,CUST002079
INST_ACH9C8JIGZ,UTR346852290101,2024-08-26,2024-10-12,4727.5,SUCCESS,INSTAMOJO,AMAZON,PAYMENT,BRN008,SETTLED/UTR346852290101,CUST001380
INST_0TAIFWEQ2A,UTR813864433834,2024-07-05,2024-05-08,18467.7,SUCCESS,BILLDESK,PAYTM*WALLET,SUBSCRIPTION,BRN004,SETTLED/UTR813864433834,CUST000023
RZP_Z469V7DLN1,SLM310527100407,2024-06-18,2024-06-03,2644.49,SUCCESS,BILLDESK,makemytrip.com,SUBSCRIPTION,BRN008,SETTLED/SLM310527100407,CUST002993
INST_ZTDKK32JLJ,PU541255923356,2024-10-06,2024-07-24,9396.31,SUCCESS,BILLDESK,ZOMATO*MUMBAI,REFUND,BRN004,SETTLED/PU541255923356,CUST001227
ATOM_XD9HDOHOEL,UTR170443563331,2024-04-09,2024-06-21,2952.76,SUCCESS,INSTAMOJO,PAYTM*WALLET,PAYMENT,BRN001,SETTLED/UTR170443563331,CUST000149
RZP_WXXOF5JGTC,PU356052424859,2024-01-25,2024-10-20,8971.43,SUCCESS,PAYU,UBER*TRIP,PAYMENT,BRN008,SETTLED/PU356052424859,CUST000106
ATOM_14MT7YOPVJ,UTR785683486014,2024-02-06,2024-06-21,23229.34,SUCCESS,INSTAMOJO,SWIGGY*BANGALORE,PAYMENT,BRN004,SETTLED/UTR785683486014,CUST001814
CCX_SSD9NHRSNK,PAY715886755148,2024-03-27,2024-07-23,9398.13,SUCCESS,INSTAMOJO,ZOMATO*MUMBAI,PAYMENT,BRN004,SETTLED/PAY715886755148,CUST001466
RZP_X4SIUGIZC4,PAY468214375309,2024-01-15,2024-03-04,10060.12,SUCCESS,INSTAMOJO,makemytrip.com,PAYMENT,BRN004,SETTLED/PAY468214375309,CUST001176
INST_1ASAZPGKK8,TXN678269056222,2024-11-17,2024-07-25,9526.37,SUCCESS,CCAVENUE,UBER*TRIP,REFUND,BRN007,SETTLED/TXN678269056222,CUST001535
CCX_MG8OLHHHNF,PAY908746401181,2024-11-09,2024-02-06,14982.86,SUCCESS,CCAVENUE,SWIGGY*BANGALORE,REFUND,BRN002,SETTLED/PAY908746401181,CUST001473
INST_HI9ISKUEGH,ORD357930638882,2024-03-22,2024-03-16,24122.22,SUCCESS,BILLDESK,ZOMATO*MUMBAI,PAYMENT,BRN009,SETTLED/ORD357930638882,CUST000514
ATOM_S4HC8LB1RO,SLM647424769899,2024-12-02,2024-11-14,4072.96,SUCCESS,PAYU,UBER*TRIP,SUBSCRIPTION,BRN004,SETTLED/SLM647424769899,CUST000857
ATOM_4ETNDGBS34,TXN473554478055,2024-07-02,2024-10-13,5087.37,SUCCESS,BILLDESK,UBER*TRIP,PAYMENT,BRN006,SETTLED/TXN473554478055,CUST001843
RZP_CXPCGNGAAB,SLM556473041126,2024-11-23,2024-09-03,9383.86,SUCCESS,CCAVENUE,ZOMATO*MUMBAI,SUBSCRIPTION,BRN007,SETTLED/SLM556473041126,CUST002865
INST_K2KCLKXYYV,PAY758010706731,2024-05-24,2024-06-13,4754.56,SUCCESS,CCAVENUE,AMAZON,PAYMENT,BRN005,SETTLED/PAY758010706731,CUST001717
CCX_0MMWJC2KH2,UTR755985095696,2024-04-07,2024-11-03,12032.25,SUCCESS,INSTAMOJO,AMAZON,PAYMENT,BRN005,SETTLED/UTR755985095696,CUST002677
CCX_MBZXSKTYJ5,PU286493074509,2024-01-04,2024-02-28,24859.22,SUCCESS,PAYU,FLIPKART,REFUND,BRN010,SETTLED/PU286493074509,CUST000220
ATOM_73322Z99K1,SLM808048169167,2024-12-16,2024-07-26,21446.38,SUCCESS,CCAVENUE,UBER*TRIP,SUBSCRIPTION,BRN007,SETTLED/SLM808048169167,CUST001756
INST_771NVASS73,SLM943807759613,2024-10-27,2024-01-28,15576.1,SUCCESS,INSTAMOJO,SWIGGY*BANGALORE,SUBSCRIPTION,BRN004,SETTLED/SLM943807759613,CUST000910
INST_QBPXEZ9TLZ,PAY661738532064,2024-05-06,2024-04-25,8254.05,SUCCESS,BILLDESK,SWIGGY*BANGALORE,SUBSCRIPTION,BRN002,SETTLED/PAY661738532064,CUST002389
RZP_5VO26R9ER8,ORD460011875928,2024-04-14,2024-03-15,22485.04,SUCCESS,CCAVENUE,PAYTM*WALLET,REFUND,BRN009,SETTLED/ORD460011875928,CUST000774
INST_8Y81SMY5D4,SLM630618170239,2024-08-02,2024-07-25,16137.76,SUCCESS,PAYU,PAYTM*WALLET,PAYMENT,BRN001,SETTLED/SLM630618170239,CUST001051
RZP_HR8O113V18,ORD508640300453,2024-09-13,2024-11-02,2443.46,SUCCESS,INSTAMOJO,AMAZON,PAYMENT,BRN007,SETTLED/ORD508640300453,CUST001510
RZP_2Y270PAPZT,TXN908501183278,2024-06-27,2024-05-19,11390.19,SUCCESS,INSTAMOJO,FLIPKART,PAYMENT,BRN007,SETTLED/TXN908501183278,CUST002816
RZP_B1BXZSN9EC,SLM785117634730,2024-04-21,2024-11-17,1143.85,SUCCESS,PAYU,PAYTM*WALLET,SUBSCRIPTION,BRN005,SETTLED/SLM785117634730,CUST000562
INST_BR17JV16HR,SLM297517587333,2024-03-23,2024-08-23,26786.25,SUCCESS,CCAVENUE,SWIGGY*BANGALORE,PAYMENT,BRN007,SETTLED/SLM297517587333,CUST001179
CCX_IW357XBHR9,PU715260504663,2024-04-01,2024-10-07,28964.39,SUCCESS,CCAVENUE,makemytrip.com,REFUND,BRN009,SETTLED/PU715260504663,CUST001240
